Date,Time,Number1,Number2
2021-04-25,Evening,5,5
2021-04-26,Midday,4,5
2021-04-26,Evening,1,2
2021-04-27,Evening,2,6
2021-04-27,Midday,0,9
2021-04-28,Evening,9,2
2021-04-28,Midday,2,3
2021-04-29,Midday,4,0
2021-04-29,Evening,1,9
2021-04-30,Evening,7,7
2021-04-30,Midday,2,9
2021-05-01,Midday,3,2
2021-05-01,Evening,7,9
2021-05-02,Evening,8,3
2021-05-02,Midday,0,8
2021-05-03,Evening,2,5
2021-05-03,Midday,8,9
2021-05-04,Midday,0,3
2021-05-04,Evening,4,2
2021-05-05,Midday,8,0
2021-05-05,Evening,9,8
2021-05-06,Midday,3,6
2021-05-06,Evening,1,8
2021-05-07,Evening,5,9
2021-05-07,Midday,0,4
2021-05-08,Midday,8,1
2021-05-08,Evening,5,4
2021-05-09,Evening,1,3
2021-05-09,Midday,9,6
2021-05-10,Midday,0,9
2021-05-10,Evening,8,2
2021-05-11,Evening,9,6
2021-05-11,Midday,0,2
2021-05-12,Midday,5,1
2021-05-12,Evening,2,0
2021-05-13,Midday,7,8
2021-05-13,Evening,4,0
2021-05-14,Evening,8,3
2021-05-14,Midday,7,0
2021-05-15,Evening,2,1
2021-05-15,Midday,2,5
2021-05-16,Evening,0,1
2021-05-16,Midday,0,4
2021-05-17,Midday,4,1
2021-05-17,Evening,5,1
2021-05-18,Evening,4,2
2021-05-18,Midday,0,5
2021-05-19,Evening,6,7
2021-05-19,Midday,5,8
2021-05-20,Evening,7,4
2021-05-20,Midday,5,4
2021-05-21,Midday,7,1
2021-05-21,Evening,3,3
2021-05-22,Evening,2,0
2021-05-22,Midday,8,2
2021-05-23,Evening,8,5
2021-05-23,Midday,0,6
2021-05-24,Evening,1,5
2021-05-24,Midday,7,4
2021-05-25,Midday,1,9
2021-05-25,Evening,8,6
2021-05-26,Evening,2,8
2021-05-26,Midday,3,4
2021-05-27,Evening,3,3
2021-05-27,Midday,7,0
2021-05-28,Midday,0,0
2021-05-28,Evening,2,6
2021-05-29,Midday,6,4
2021-05-29,Evening,8,3
2021-05-30,Midday,1,0
2021-05-30,Evening,9,9
2021-05-31,Midday,8,1
2021-05-31,Evening,3,8
2021-06-01,Midday,5,7
2021-06-01,Evening,8,8
2021-06-02,Evening,9,9
2021-06-02,Midday,7,5
2021-06-03,Evening,1,9
2021-06-03,Midday,4,4
2021-06-04,Evening,2,2
2021-06-04,Midday,5,9
2021-06-05,Evening,3,1
2021-06-05,Midday,0,0
2021-06-06,Evening,2,9
2021-06-06,Midday,3,4
2021-06-07,Midday,8,1
2021-06-07,Evening,6,1
2021-06-08,Midday,9,8
2021-06-08,Evening,1,5
2021-06-09,Midday,4,6
2021-06-09,Evening,3,4
2021-06-10,Evening,0,0
2021-06-10,Midday,2,9
2021-06-11,Evening,1,5
2021-06-11,Midday,8,9
2021-06-12,Midday,0,9
2021-06-12,Evening,2,2
2021-06-13,Evening,4,0
2021-06-13,Midday,9,1
2021-06-14,Evening,4,1
2021-06-14,Midday,9,9
2021-06-15,Evening,3,4
2021-06-15,Midday,1,4
2021-06-16,Midday,5,1
2021-06-16,Evening,1,0
2021-06-17,Evening,5,2
2021-06-17,Midday,3,2
2021-06-18,Midday,7,4
2021-06-18,Evening,6,4
2021-06-19,Midday,1,3
2021-06-19,Evening,1,3
2021-06-20,Evening,8,7
2021-06-20,Midday,9,6
2021-06-21,Evening,7,1
2021-06-21,Midday,5,4
2021-06-22,Midday,9,2
2021-06-22,Evening,0,7
2021-06-23,Evening,9,1
2021-06-23,Midday,3,5
2021-06-24,Evening,8,8
2021-06-24,Midday,8,5
2021-06-25,Midday,7,6
2021-06-25,Evening,0,3
2021-06-26,Midday,8,8
2021-06-26,Evening,8,5
2021-06-27,Midday,0,3
2021-06-27,Evening,0,7
2021-06-28,Midday,8,2
2021-06-28,Evening,9,6
2021-06-29,Evening,6,8
2021-06-29,Midday,8,9
2021-06-30,Midday,4,6
2021-06-30,Evening,3,6
2021-07-01,Midday,8,8
2021-07-01,Evening,7,2
2021-07-02,Midday,6,3
2021-07-02,Evening,7,1
2021-07-03,Evening,3,3
2021-07-03,Midday,9,4
2021-07-04,Midday,5,2
2021-07-04,Evening,1,0
2021-07-05,Midday,1,5
2021-07-05,Evening,6,0
2021-07-06,Midday,5,5
2021-07-06,Evening,3,3
2021-07-07,Evening,5,0
2021-07-07,Midday,3,9
2021-07-08,Midday,3,8
2021-07-08,Evening,4,5
2021-07-09,Evening,0,6
2021-07-09,Midday,7,5
2021-07-10,Midday,8,4
2021-07-10,Evening,5,2
2021-07-11,Evening,3,2
2021-07-11,Midday,3,6
2021-07-12,Midday,3,7
2021-07-12,Evening,0,5
2021-07-13,Evening,8,3
2021-07-13,Midday,2,4
2021-07-14,Evening,9,1
2021-07-14,Midday,0,8
2021-07-15,Evening,6,0
2021-07-15,Midday,9,7
2021-07-16,Evening,0,1
2021-07-16,Midday,1,8
2021-07-17,Midday,0,9
2021-07-17,Evening,0,4
2021-07-18,Midday,3,0
2021-07-18,Evening,7,4
2021-07-19,Midday,7,6
2021-07-19,Evening,3,9
2021-07-20,Midday,9,2
2021-07-20,Evening,0,1
2021-07-21,Evening,1,6
2021-07-21,Midday,4,8
2021-07-22,Evening,7,3
2021-07-22,Midday,9,7
2021-07-23,Midday,4,7
2021-07-23,Evening,4,1
2021-07-24,Midday,4,5
2021-07-24,Evening,7,1
2021-07-25,Evening,6,1
2021-07-25,Midday,5,9
2021-07-26,Evening,3,0
2021-07-26,Midday,6,2
2021-07-27,Midday,3,8
2021-07-27,Evening,4,7
2021-07-28,Evening,4,4
2021-07-28,Midday,7,0
2021-07-29,Evening,1,4
2021-07-29,Midday,9,2
2021-07-30,Midday,5,9
2021-07-30,Evening,0,0
2021-07-31,Midday,4,1
2021-07-31,Evening,9,6
2021-08-01,Midday,8,4
2021-08-01,Evening,8,5
2021-08-02,Midday,7,8
2021-08-02,Evening,3,2
2021-08-03,Evening,0,4
2021-08-03,Midday,1,1
2021-08-04,Evening,4,7
2021-08-04,Midday,7,3
2021-08-05,Evening,6,8
2021-08-05,Midday,9,3
2021-08-06,Evening,6,6
2021-08-06,Midday,7,1
2021-08-07,Evening,5,6
2021-08-07,Midday,5,2
2021-08-08,Evening,1,3
2021-08-08,Midday,5,4
2021-08-09,Evening,9,4
2021-08-09,Midday,6,9
2021-08-10,Evening,2,9
2021-08-10,Midday,6,0
2021-08-11,Midday,8,5
2021-08-11,Evening,9,9
2021-08-12,Evening,5,3
2021-08-12,Midday,7,2
2021-08-13,Midday,3,3
2021-08-13,Evening,2,2
2021-08-14,Evening,9,9
2021-08-14,Midday,0,9
2021-08-15,Evening,0,0
2021-08-15,Midday,5,2
2021-08-16,Evening,2,4
2021-08-16,Midday,9,4
2021-08-17,Evening,5,7
2021-08-17,Midday,3,7
2021-08-18,Midday,2,9
2021-08-18,Evening,0,5
2021-08-19,Evening,4,9
2021-08-19,Midday,0,9
2021-08-20,Evening,2,1
2021-08-20,Midday,7,8
2021-08-21,Evening,4,5
2021-08-21,Midday,5,2
2021-08-22,Evening,3,9
2021-08-22,Midday,5,7
2021-08-23,Midday,2,8
2021-08-23,Evening,3,5
2021-08-24,Evening,9,1
2021-08-24,Midday,1,1
2021-08-25,Evening,1,2
2021-08-25,Midday,3,5
2021-08-26,Evening,6,3
2021-08-26,Midday,0,9
2021-08-27,Evening,7,8
2021-08-27,Midday,4,3
2021-08-28,Midday,6,1
2021-08-28,Evening,4,7
2021-08-29,Evening,8,5
2021-08-29,Midday,6,6
2021-08-30,Midday,8,9
2021-08-30,Evening,0,8
2021-08-31,Midday,3,7
2021-08-31,Evening,3,7
2021-09-01,Midday,3,9
2021-09-01,Evening,1,1
2021-09-02,Evening,8,8
2021-09-02,Midday,5,9
2021-09-03,Evening,2,7
2021-09-03,Midday,8,3
2021-09-04,Evening,7,5
2021-09-04,Midday,1,3
2021-09-05,Midday,8,9
2021-09-05,Evening,5,6
2021-09-06,Evening,0,6
2021-09-06,Midday,9,2
2021-09-07,Evening,0,0
2021-09-07,Midday,3,9
2021-09-08,Evening,1,1
2021-09-08,Midday,9,8
2021-09-09,Midday,7,5
2021-09-09,Evening,1,0
2021-09-10,Evening,9,3
2021-09-10,Midday,9,8
2021-09-11,Midday,1,1
2021-09-11,Evening,5,8
2021-09-12,Midday,1,5
2021-09-12,Evening,2,0
2021-09-13,Midday,9,4
2021-09-13,Evening,8,2
2021-09-14,Midday,2,1
2021-09-14,Evening,8,2
2021-09-15,Evening,3,5
2021-09-15,Midday,7,8
2021-09-16,Evening,6,8
2021-09-16,Midday,3,8
2021-09-17,Evening,8,0
2021-09-17,Midday,7,3
2021-09-18,Evening,2,9
2021-09-18,Midday,0,6
2021-09-19,Midday,2,1
2021-09-19,Evening,0,5
2021-09-20,Evening,4,0
2021-09-20,Midday,3,6
2021-09-21,Evening,1,3
2021-09-21,Midday,9,3
2021-09-22,Evening,7,4
2021-09-22,Midday,0,3
2021-09-23,Evening,7,1
2021-09-23,Midday,2,0
2021-09-24,Midday,2,2
2021-09-24,Evening,3,6
2021-09-25,Evening,0,4
2021-09-25,Midday,8,0
2021-09-26,Evening,9,0
2021-09-26,Midday,7,5
2021-09-27,Midday,1,8
2021-09-27,Evening,2,6
2021-09-28,Evening,8,7
2021-09-28,Midday,7,1
2021-09-29,Midday,1,7
2021-09-29,Evening,7,6
2021-09-30,Evening,7,7
2021-09-30,Midday,7,0
2021-10-01,Evening,9,7
2021-10-01,Midday,0,2
2021-10-02,Evening,2,2
2021-10-02,Midday,9,3
2021-10-03,Midday,5,2
2021-10-03,Evening,9,6
2021-10-04,Evening,5,3
2021-10-04,Midday,3,6
2021-10-05,Midday,7,3
2021-10-05,Evening,2,6
2021-10-06,Evening,9,3
2021-10-06,Midday,7,5
2021-10-07,Evening,9,9
2021-10-07,Midday,5,0
2021-10-08,Midday,7,7
2021-10-08,Evening,9,7
2021-10-09,Midday,7,1
2021-10-09,Evening,2,9
2021-10-10,Midday,9,4
2021-10-10,Evening,6,6
2021-10-11,Midday,5,9
2021-10-11,Evening,2,7
2021-10-12,Midday,9,7
2021-10-12,Evening,3,5
2021-10-13,Midday,5,6
2021-10-13,Evening,9,1
2021-10-14,Midday,4,8
2021-10-14,Evening,6,4
2021-10-15,Midday,9,2
2021-10-15,Evening,9,2
2021-10-16,Midday,7,8
2021-10-16,Evening,8,8
2021-10-17,Midday,9,5
2021-10-17,Evening,7,7
2021-10-18,Evening,0,1
2021-10-18,Midday,8,2
2021-10-19,Evening,9,9
2021-10-19,Midday,1,0
2021-10-20,Midday,7,2
2021-10-20,Evening,9,7
2021-10-21,Evening,0,5
2021-10-21,Midday,0,2
2021-10-22,Evening,8,4
2021-10-22,Midday,7,6
2021-10-23,Evening,2,9
2021-10-23,Midday,7,3
2021-10-24,Evening,6,8
2021-10-24,Midday,6,6
2021-10-25,Midday,7,0
2021-10-25,Evening,3,0
2021-10-26,Evening,6,9
2021-10-26,Midday,9,6
2021-10-27,Midday,5,0
2021-10-27,Evening,5,8
2021-10-28,Evening,4,7
2021-10-28,Midday,7,7
2021-10-29,Midday,1,6
2021-10-29,Evening,2,0
2021-10-30,Midday,6,2
2021-10-30,Evening,2,9
2021-10-31,Evening,1,2
2021-10-31,Midday,7,2
2021-11-01,Evening,9,0
2021-11-01,Midday,5,0
2021-11-02,Evening,4,3
2021-11-02,Midday,8,4
2021-11-03,Evening,2,5
2021-11-03,Midday,6,6
2021-11-04,Midday,7,9
2021-11-04,Evening,1,6
2021-11-05,Midday,0,4
2021-11-05,Evening,4,5
2021-11-06,Midday,0,3
2021-11-06,Evening,7,0
2021-11-07,Midday,4,7
2021-11-07,Evening,2,1
2021-11-08,Midday,5,8
2021-11-08,Evening,7,6
2021-11-09,Midday,1,9
2021-11-09,Evening,8,2
2021-11-10,Evening,0,3
2021-11-10,Midday,3,6
2021-11-11,Evening,3,4
2021-11-11,Midday,1,7
2021-11-12,Evening,2,2
2021-11-12,Midday,0,4
2021-11-13,Midday,1,7
2021-11-13,Evening,5,9
2021-11-14,Midday,5,5
2021-11-14,Evening,4,0
2021-11-15,Evening,6,0
2021-11-15,Midday,0,4
2021-11-16,Evening,0,7
2021-11-16,Midday,9,2
2021-11-17,Midday,1,4
2021-11-17,Evening,7,3
2021-11-18,Evening,2,2
2021-11-18,Midday,5,4
2021-11-19,Evening,6,4
2021-11-19,Midday,0,5
2021-11-20,Midday,4,2
2021-11-20,Evening,5,5
2021-11-21,Evening,4,7
2021-11-21,Midday,6,0
2021-11-22,Midday,9,9
2021-11-22,Evening,1,8
2021-11-23,Evening,0,1
2021-11-23,Midday,4,7
2021-11-24,Evening,8,8
2021-11-24,Midday,6,2
2021-11-25,Midday,8,5
2021-11-25,Evening,4,2
2021-11-26,Evening,8,1
2021-11-26,Midday,4,9
2021-11-27,Midday,8,8
2021-11-27,Evening,3,8
2021-11-28,Midday,8,2
2021-11-28,Evening,1,8
2021-11-29,Evening,3,9
2021-11-29,Midday,3,1
2021-11-30,Midday,5,0
2021-11-30,Evening,9,8
2021-12-01,Midday,8,7
2021-12-01,Evening,6,0
2021-12-02,Evening,4,7
2021-12-02,Midday,0,8
2021-12-03,Evening,6,8
2021-12-03,Midday,2,2
2021-12-04,Evening,4,1
2021-12-04,Midday,8,2
2021-12-05,Evening,6,5
2021-12-05,Midday,8,0
2021-12-06,Midday,3,9
2021-12-06,Evening,5,3
2021-12-07,Midday,9,3
2021-12-07,Evening,2,3
2021-12-08,Midday,5,3
2021-12-08,Evening,9,7
2021-12-09,Midday,4,4
2021-12-09,Evening,5,6
2021-12-10,Midday,2,7
2021-12-10,Evening,3,4
2021-12-11,Evening,2,0
2021-12-11,Midday,8,0
2021-12-12,Evening,0,4
2021-12-12,Midday,1,5
2021-12-13,Evening,6,6
2021-12-13,Midday,5,5
2021-12-14,Midday,6,1
2021-12-14,Evening,3,4
2021-12-15,Evening,2,1
2021-12-15,Midday,0,8
2021-12-16,Midday,4,8
2021-12-16,Evening,2,2
2021-12-17,Midday,8,0
2021-12-17,Evening,1,2
2021-12-18,Evening,1,1
2021-12-18,Midday,4,6
2021-12-19,Evening,8,4
2021-12-19,Midday,8,7
2021-12-20,Evening,0,2
2021-12-20,Midday,0,5
2021-12-21,Evening,7,7
2021-12-21,Midday,7,7
2021-12-22,Evening,2,1
2021-12-22,Midday,2,3
2021-12-23,Evening,3,4
2021-12-23,Midday,5,0
2021-12-24,Midday,6,3
2021-12-24,Evening,8,1
2021-12-25,Midday,0,9
2021-12-25,Evening,1,5
2021-12-26,Evening,2,7
2021-12-26,Midday,5,5
2021-12-27,Evening,4,4
2021-12-27,Midday,4,1
2021-12-28,Midday,5,5
2021-12-28,Evening,3,4
2021-12-29,Midday,3,7
2021-12-29,Evening,5,7
2021-12-30,Midday,7,4
2021-12-30,Evening,5,8
2021-12-31,Evening,1,4
2021-12-31,Midday,4,7
